Frame,Active_Objects,Total_Entries,Total_Exits
201,3,0,0
202,3,0,0
203,3,0,0
204,3,0,0
205,3,0,0
206,3,0,0
207,3,0,0
208,3,0,0
209,3,0,0
210,3,0,0
211,2,0,0
212,2,0,0
213,2,0,0
214,2,0,0
215,2,0,0
216,3,0,0
217,2,0,0
218,2,0,0
219,2,0,0
220,2,0,0
221,1,0,0
222,1,0,0
223,1,0,1
224,1,0,1
225,1,0,1
226,1,0,1
227,1,0,1
228,1,0,1
229,1,0,1
230,1,0,1
231,1,0,1
232,1,0,1
233,1,0,1
234,1,0,1
235,1,0,1
236,0,0,1
237,0,0,1
238,0,0,1
239,0,0,1
240,0,0,1
241,0,0,1
242,0,0,1
243,0,0,1
244,0,0,1
245,0,0,1
246,0,0,1
247,0,0,1
248,0,0,1
249,0,0,1
250,0,0,1
251,0,0,1
252,0,0,1
253,0,0,1
254,0,0,1
255,0,0,1
256,0,0,1
257,0,0,1
258,1,0,1
259,0,0,1
260,0,0,1
261,0,0,1
262,1,0,1
263,1,0,1
264,1,0,1
265,1,0,1
266,1,0,1
267,1,0,1
268,1,0,1
269,2,0,1
270,2,0,1
271,2,0,1
272,2,0,1
273,2,0,1
274,2,0,1
275,2,0,1
276,2,0,1
277,1,0,1
278,1,0,1
279,1,0,1
280,1,0,1
281,1,0,1
282,1,0,1
283,1,0,1
284,1,0,1
285,1,0,1
286,1,0,1
287,1,0,1
288,1,0,1
289,1,0,1
290,1,0,1
291,1,0,1
292,1,0,1
293,1,0,1
294,1,0,1
295,1,0,1
296,1,0,1
297,1,0,1
298,1,0,1
299,1,0,1
300,1,0,1
301,1,0,1
302,1,0,1
303,1,0,1
304,1,0,1
305,1,0,1
306,1,0,1
307,1,0,1
308,1,0,1
309,1,0,1
310,1,0,1
311,1,0,1
312,2,0,1
313,2,0,1
314,2,0,1
315,2,0,1
316,2,0,1
317,2,0,1
318,2,0,1
319,3,0,1
320,3,0,1
321,3,0,1
322,3,0,1
323,2,0,1
324,2,0,1
325,4,0,1
326,4,0,1
327,4,0,1
328,4,0,1
329,4,0,1
330,4,0,1
331,4,0,1
332,4,0,1
333,4,0,1
334,4,0,1
335,4,0,1
336,4,0,1
337,4,0,2
338,4,0,2
339,4,0,2
340,3,0,2
341,4,0,2
342,4,0,2
343,3,0,2
344,3,0,2
345,3,0,2
346,3,0,2
347,3,0,2
348,3,0,2
349,3,0,2
350,3,0,2
351,3,0,2
352,3,0,2
353,3,0,2
354,3,0,2
355,3,0,2
356,5,0,2
357,5,0,2
358,4,0,2
359,3,0,2
360,4,0,2
361,5,0,2
362,4,0,2
363,3,0,2
364,4,0,2
365,4,0,2
366,4,0,2
367,4,0,2
368,4,0,2
369,4,0,2
370,4,0,2
371,4,0,2
372,4,0,2
373,4,0,2
374,4,0,2
375,4,0,2
376,4,0,2
377,4,0,2
378,4,0,2
379,4,0,2
380,4,0,2
381,5,0,2
382,6,0,2
383,5,0,2
384,4,0,2
385,4,0,2
386,4,0,2
387,5,0,2
388,4,0,2
389,4,0,2
390,4,0,2
391,4,0,2
392,4,0,2
393,4,0,2
394,4,0,2
395,4,0,3
396,4,0,3
397,4,0,3
398,5,0,3
399,5,0,3
400,5,0,3
401,5,0,3
402,5,0,3
403,6,0,3
404,6,0,3
405,5,0,3
406,5,0,3
407,5,0,4
408,5,0,4
409,5,0,4
410,5,0,4
411,6,0,4
412,5,0,4
413,5,0,4
414,6,0,4
415,5,0,4
416,4,0,4
417,3,0,4
418,3,0,4
419,3,0,4
420,3,0,4
421,3,0,4
422,2,0,4
423,2,0,5
424,2,0,5
425,2,0,5
426,2,0,5
427,2,0,5
428,2,0,5
429,2,0,5
430,2,0,5
431,2,0,5
432,2,0,5
433,2,0,5
434,1,0,5
435,2,0,5
436,2,0,5
437,2,0,5
438,2,0,5
439,2,0,5
440,2,0,5
441,2,0,5
442,2,0,5
443,2,0,5
444,2,0,5
445,3,0,5
446,3,0,5
447,3,0,5
448,3,0,5
449,3,0,5
450,3,0,5
451,3,0,5
452,3,0,5
453,3,0,5
454,3,0,5
455,3,0,5
456,3,0,5
457,4,0,5
458,4,0,5
459,4,0,5
460,3,0,5
461,3,0,5
462,4,0,5
463,3,0,5
464,3,0,5
465,3,0,5
466,3,0,5
467,3,0,5
468,4,0,5
469,5,0,5
470,4,0,5
471,5,0,5
472,4,0,5
473,4,0,5
474,4,0,5
475,4,0,5
476,4,0,5
477,4,0,5
478,4,0,5
479,4,0,5
480,4,0,5
481,4,0,5
482,4,0,5
483,4,0,5
484,4,0,5
485,4,0,5
486,4,0,5
487,5,0,6
488,5,0,6
489,5,0,6
490,5,0,6
491,5,0,6
492,5,0,6
493,5,0,6
494,5,0,6
495,5,0,6
496,5,0,6
497,5,0,6
498,5,0,6
499,5,0,6
500,5,0,6
501,4,0,6
502,4,0,6
503,4,0,6
504,4,0,6
505,4,0,6
506,5,0,6
507,5,0,6
508,5,0,6
509,5,0,6
510,5,0,6
511,5,0,6
512,5,0,6
513,5,0,6
514,5,0,6
515,5,0,6
516,5,0,6
517,5,0,6
518,4,0,6
519,5,0,6
520,5,0,6
521,5,0,6
522,5,0,6
523,5,0,6
524,5,0,6
525,5,0,6
526,5,0,6
527,5,0,6
528,4,0,6
529,4,0,6
530,4,0,6
531,5,0,6
532,5,0,6
533,5,0,6
534,5,0,6
535,5,0,7
536,5,0,7
537,5,0,7
538,5,0,7
539,5,0,7
540,5,0,7
541,5,0,7
542,5,0,7
543,5,0,7
544,5,0,7
545,5,0,7
546,5,0,7
547,5,0,7
548,5,0,7
549,5,0,7
550,5,0,7
551,5,0,7
552,5,0,7
553,5,0,7
554,5,0,7
555,5,0,7
556,5,0,7
557,4,0,7
558,5,0,7
559,4,0,7
560,4,0,7
561,4,0,7
562,4,0,7
563,4,0,7
564,4,0,7
565,4,0,7
566,4,0,7
567,4,0,7
568,4,0,8
569,4,0,8
570,4,0,8
571,4,0,8
572,4,0,8
573,4,0,8
574,4,0,8
575,4,0,8
576,4,0,8
577,4,0,8
578,4,0,8
579,4,0,8
580,4,0,8
581,3,0,8
582,3,0,8
583,2,0,8
584,3,0,9
585,2,0,9
586,2,0,9
587,2,0,9
588,1,0,9
589,2,0,9
590,1,0,9
591,2,0,9
592,2,0,9
593,1,0,9
594,1,0,9
595,2,0,9
596,1,0,9
597,1,0,9
598,1,0,9
599,1,0,9
600,1,0,9
601,1,0,9
602,3,0,9
603,2,0,9
604,2,0,9
605,3,0,10
606,2,0,10
607,3,0,10
608,2,0,10
609,2,0,10
610,3,0,10
611,2,0,10
612,2,0,10
613,2,0,10
614,2,0,10
615,2,0,10
616,2,0,10
617,2,0,10
618,2,0,10
619,1,0,10
620,2,0,10
621,1,0,10
622,1,0,10
623,1,0,10
624,1,0,10
625,1,0,10
626,2,0,10
627,1,0,10
628,2,0,10
629,1,0,10
630,1,0,10
631,1,0,10
632,1,0,10
633,2,0,10
634,2,0,10
635,2,0,10
636,2,0,10
637,2,0,10
638,3,0,10
639,3,0,10
640,3,0,10
641,4,0,10
642,4,0,10
643,3,0,10
644,4,0,10
645,3,0,10
646,4,0,10
647,3,0,10
648,3,0,10
649,3,0,10
650,4,0,10
651,3,0,10
652,4,0,10
653,3,0,10
654,3,0,10
655,3,0,10
656,3,0,10
657,3,0,10
658,3,0,10
659,4,0,10
660,4,0,10
661,4,0,10
662,4,0,10
663,5,0,10
664,5,0,10
665,5,0,10
666,5,0,10
667,5,0,10
668,5,0,10
669,5,0,10
670,5,0,10
671,5,0,10
672,5,0,10
673,5,0,10
674,5,0,10
675,5,0,10
676,5,0,10
677,5,0,10
678,5,0,10
679,5,0,10
680,5,0,10
681,5,0,10
682,5,0,10
683,5,0,10
684,5,0,10
685,5,0,10
686,5,0,10
687,5,0,10
688,4,0,10
689,4,0,10
690,4,0,10
691,4,0,10
692,4,0,10
693,4,0,10
694,4,0,10
695,4,0,10
696,4,0,10
697,4,0,10
698,4,0,10
699,4,0,10
700,4,0,10
701,4,0,10
702,5,0,10
703,5,0,10
704,5,0,10
705,5,0,10
706,5,0,10
707,5,0,10
708,5,0,10
709,5,0,10
710,5,0,10
711,6,0,10
712,6,0,11
713,6,0,11
714,6,0,11
715,6,0,11
716,6,0,11
717,5,0,11
718,6,0,11
719,5,0,11
720,5,0,11
721,5,0,11
722,5,0,11
723,5,0,11
724,5,0,11
725,6,0,11
726,5,0,11
727,5,0,11
728,5,0,11
729,5,0,11
730,4,0,11
731,4,0,11
732,4,0,11
733,4,0,11
734,3,0,11
735,5,0,12
736,5,0,12
737,4,0,12
738,4,0,12
739,4,0,12
740,4,0,13
741,4,0,13
742,4,0,13
743,3,0,13
744,4,0,13
745,3,0,13
746,4,0,13
747,4,0,13
748,4,0,13
749,4,0,13
750,4,0,13
751,4,0,13
752,3,0,13
753,3,0,13
754,3,0,13
755,3,0,13
756,3,0,13
757,3,0,13
758,3,0,13
759,4,0,13
760,3,0,13
761,3,0,13
762,4,0,13
763,3,0,13
764,4,0,13
765,4,0,13
766,4,0,13
767,4,0,13
768,4,0,13
769,4,0,13
770,4,0,13
771,4,0,13
772,4,0,13
773,4,0,13
774,4,0,13
775,4,0,13
776,4,0,13
777,4,0,13
778,4,0,13
779,4,0,13
780,4,0,13
781,4,0,13
782,4,0,13
783,4,0,13
784,4,0,13
785,4,0,13
786,4,0,13
787,4,0,13
788,4,0,13
789,4,0,13
790,4,0,13
791,4,0,13
792,4,0,13
793,4,0,13
794,4,0,13
795,4,0,13
796,4,0,13
797,4,0,13
798,4,0,13
799,4,0,13
800,4,0,13
801,4,0,13
802,3,0,13
803,3,0,13
804,3,0,13
805,3,0,13
806,3,0,14
807,3,0,14
808,3,0,14
809,3,0,14
810,3,0,14
811,3,0,14
812,3,0,14
813,3,0,14
814,3,0,14
815,3,0,14
816,3,0,14
817,3,0,14
818,3,0,14
819,3,0,14
820,3,0,14
821,3,0,14
822,3,0,14
823,4,0,14
824,4,0,14
825,4,0,14
826,4,0,14
827,4,0,14
828,4,0,14
829,4,0,14
830,4,0,14
831,5,0,14
832,4,0,14
833,4,0,14
834,6,0,14
835,5,0,14
836,5,0,14
837,5,0,14
838,5,0,14
839,5,0,14
840,4,0,14
841,4,0,14
842,5,0,14
843,5,0,14
844,5,0,14
845,5,0,14
846,5,0,15
847,4,0,15
848,6,0,15
849,5,0,15
850,4,0,15
851,4,0,15
852,4,0,15
853,4,0,15
854,3,0,15
855,3,0,15
856,4,0,15
857,4,0,15
858,4,0,15
859,4,0,15
860,4,0,15
861,4,0,15
862,4,0,15
863,4,0,15
864,4,0,15
865,4,0,15
866,4,0,15
867,4,0,15
868,4,0,15
869,4,0,15
870,4,0,15
871,4,0,15
872,4,0,15
873,5,0,15
874,5,0,15
875,4,0,15
876,4,0,15
877,4,0,15
878,4,0,15
879,5,0,15
880,6,0,15
881,6,0,15
882,6,0,15
883,5,0,15
884,6,0,15
885,6,0,15
886,6,0,15
887,5,0,15
888,5,0,15
889,5,0,15
890,5,0,15
891,6,0,15
892,6,0,15
893,6,0,15
894,7,0,15
895,6,0,15
896,6,0,15
897,6,0,15
898,6,0,15
899,6,0,15
900,7,0,15
901,7,0,16
902,7,0,16
903,7,0,16
904,6,0,16
905,7,0,16
906,7,0,16
907,7,0,16
908,7,0,16
909,7,0,16
910,7,0,16
911,8,0,16
912,8,0,16
913,6,0,16
914,7,0,16
915,7,0,16
916,7,0,16
917,7,0,16
918,6,0,16
919,6,0,16
920,6,0,16
921,5,0,16
922,4,0,16
923,3,0,16
924,4,1,16
925,3,1,16
926,3,1,16
927,3,1,16
928,3,1,16
929,3,1,16
930,3,1,16
931,3,1,16
932,3,1,16
933,3,1,16
934,3,1,16
935,4,1,16
936,4,1,16
937,4,1,16
938,4,1,16
939,4,1,16
940,4,1,16
941,4,1,16
942,4,1,16
943,3,1,16
944,3,1,16
945,3,1,16
946,3,1,16
947,3,1,16
948,3,1,16
949,3,1,16
950,3,1,16
951,3,1,16
952,3,1,16
953,3,1,16
954,3,1,16
955,3,1,16
956,3,1,16
957,3,1,16
958,3,1,16
959,3,1,16
960,4,1,16
961,4,1,16
962,4,1,16
963,4,1,16
964,4,1,16
965,4,1,16
966,4,1,16
967,4,1,16
968,4,1,16
969,5,1,16
970,4,1,16
971,4,1,16
972,4,1,16
973,4,1,16
974,4,1,16
975,4,1,16
976,4,1,16
977,4,1,16
978,3,1,16
979,3,1,16
980,3,1,16
981,3,1,16
982,3,1,16
983,3,1,16
984,3,1,16
985,3,1,16
986,4,1,16
987,4,1,16
988,3,1,16
989,4,1,16
990,4,1,16
991,4,1,16
992,4,1,16
993,4,2,16
994,3,2,16
995,3,2,16
996,3,2,16
997,3,2,16
998,4,2,16
999,5,2,16
1000,5,2,16
1001,5,2,16
1002,5,2,16
1003,5,2,16
1004,5,2,16
1005,5,2,16
1006,5,2,16
1007,5,2,16
1008,5,2,16
1009,5,2,16
1010,5,2,16
1011,5,2,16
1012,5,2,16
1013,5,2,16
1014,5,2,16
1015,6,2,16
1016,6,2,16
1017,6,2,16
1018,6,2,16
1019,6,2,16
1020,6,2,16
1021,6,2,16
1022,6,2,16
1023,6,2,16
1024,6,2,16
1025,5,2,16
1026,5,2,16
1027,5,2,16
1028,5,2,16
1029,4,2,16
1030,4,2,16
1031,4,2,16
1032,4,2,16
1033,3,2,16
1034,4,3,16
1035,4,3,16
1036,4,3,16
1037,5,3,16
1038,5,3,16
1039,5,3,16
1040,5,3,16
1041,5,3,16
1042,5,3,16
1043,5,3,16
1044,6,3,16
1045,6,3,16
1046,6,3,16
1047,6,3,16
1048,6,3,16
1049,6,3,16
1050,6,3,16
1051,6,3,16
1052,6,3,16
1053,6,3,16
1054,6,3,16
1055,6,3,16
1056,6,3,16
1057,6,3,16
1058,6,3,16
1059,6,3,16
1060,6,3,16
1061,6,3,16
1062,5,3,16
1063,5,3,16
1064,4,3,16
1065,4,3,16
1066,5,3,16
1067,6,3,16
1068,5,3,16
1069,5,3,16
1070,5,3,16
1071,5,3,16
1072,5,3,16
1073,5,3,16
1074,5,3,16
1075,5,3,16
1076,5,3,16
1077,5,3,16
1078,5,3,16
1079,4,3,16
1080,4,3,16
1081,5,3,16
1082,5,3,16
1083,4,4,16
1084,5,4,16
1085,4,4,16
1086,5,4,16
1087,4,4,16
1088,4,4,16
1089,4,4,16
1090,4,4,16
1091,4,4,16
1092,3,4,16
1093,3,4,16
1094,3,4,16
1095,3,4,16
1096,3,4,16
1097,4,4,16
1098,4,4,16
1099,4,4,16
1100,5,5,16
1101,5,5,16
1102,4,5,16
1103,5,5,16
1104,5,5,16
1105,5,5,16
1106,5,5,16
1107,5,5,16
1108,5,5,16
1109,5,5,16
1110,6,5,16
1111,5,5,16
1112,5,5,16
1113,5,5,16
1114,5,5,16
1115,5,5,16
1116,5,5,16
1117,5,5,16
1118,4,5,16
1119,4,5,16
1120,4,5,16
1121,4,5,16
1122,4,5,16
1123,4,5,16
1124,3,5,16
1125,3,5,16
1126,3,5,16
1127,3,5,16
1128,3,5,16
1129,4,5,16
1130,4,5,16
1131,4,5,16
1132,4,6,16
1133,4,6,16
1134,4,6,16
1135,4,6,16
1136,4,6,16
1137,3,6,16
1138,4,6,16
1139,3,6,16
1140,3,6,16
1141,3,6,16
1142,3,6,16
1143,3,7,16
1144,3,7,16
1145,3,7,16
1146,2,7,16
1147,2,7,16
1148,2,7,17
1149,3,7,17
1150,2,7,17
1151,2,7,17
1152,2,7,17
1153,2,7,17
1154,2,7,17
1155,2,7,17
1156,2,7,17
1157,2,7,17
1158,2,7,17
1159,2,7,17
1160,2,7,17
1161,2,7,17
1162,3,7,17
1163,3,7,17
1164,3,7,17
1165,3,7,17
1166,3,7,17
1167,3,7,17
1168,3,7,17
1169,2,7,17
1170,2,7,17
1171,1,7,17
1172,2,7,17
1173,1,7,17
1174,1,7,17
1175,1,7,17
1176,1,7,17
1177,1,7,17
1178,1,7,17
1179,1,7,17
1180,1,7,17
1181,1,7,17
1182,1,7,17
1183,1,7,17
1184,1,7,17
1185,1,7,17
1186,1,7,17
1187,1,7,17
1188,1,8,17
1189,1,8,17
1190,1,8,17
1191,1,8,17
1192,1,8,17
